id,ref_number,first_author,effect_measure,outcome_type,type,totalpersons,personyrs,dose,RR,logrr,cases,uci_effect,lci_effect,se
23,258,Wen et al.,hr,Fatal,ci,46513,374430,8.3,0.88,-0.12783337150988489,283,0.99,0.78,0.060820256220408625
23,258,Wen et al.,hr,Fatal,ci,17646,142050,15,0.86,-0.15082288973458366,144,1.01,0.73,0.08282322487906757
23,258,Wen et al.,hr,Fatal,ci,15143,121901,21.3,0.84,-0.1743533871447778,157,0.97,0.72,0.07603324903882608
24,259,Hamer et al.,hr,Fatal,ci,1067,6959,0,1,0,88,NA,NA,NA
24,259,Hamer et al.,hr,Fatal,ci,1540,11236,1.5,1.02,0.01980262729617973,123,1.24,0.85,0.0963360327264736
24,259,Hamer et al.,hr,Fatal,ci,4958,39408,3.5,0.86,-0.15082288973458366,283,1.03,0.72,0.09134424714891061
24,259,Hamer et al.,hr,Fatal,ci,2861,23523,7,0.65,-0.4307829160924542,102,0.81,0.52,0.11306468883789687
25,264,Rockhill B.,hr,Fatal,ci,20568,263918,1.75,1,0,615,NA,NA,NA
25,264,Rockhill B.,hr,Fatal,ci,23071,332359,5.08,0.92,-0.08338160893905101,713,1.02,0.83,0.05258571257268445
25,264,Rockhill B.,hr,Fatal,ci,13499,346025,10.33,0.85,-0.16251892949777494,686,0.94,0.75,0.05760480052562895
25,264,Rockhill B.,hr,Fatal,ci,13475,255543,19.08,0.95,-0.05129329438755058,566,1.07,0.85,0.05871984888171447
25,264,Rockhill B.,hr,Fatal,ci,9735,72653,29.58,0.87,-0.13926206733350766,147,1.04,0.72,0.09380906563229827
26,270,Hillsdon M.,hr,Fatal,ci,8239,98868,0.66,1,0,308,NA,NA,NA
26,270,Hillsdon M.,hr,Fatal,ci,1030,12360,5.91,0.72,-0.3285040669720361,20,1.18,0.44,0.25166150968302237
26,270,Hillsdon M.,hr,Fatal,ci,1001,12012,15.09,0.91,-0.09431067947124129,24,1.42,0.59,0.22405758999231057
27,316,Kushi L,hr,Fatal,ci,1818,108952,0,1,0,221,NA,NA,NA
27,316,Kushi L,hr,Fatal,ci,957,57338,2.63,0.92,-0.08338160893905101,107,1.16,0.72,0.12166653975588981
27,316,Kushi L,hr,Fatal,ci,866,51922,13.13,0.94,-0.06187540371808753,99,1.21,0.73,0.12891336484607302
28,320,Ueshima K,hr,Fatal,ci,407,25925,0,1,0,161,NA,NA,NA
28,320,Ueshima K,hr,Fatal,ci,169,10787,3.94,1.08,0.0769610411361284,68,1.51,0.78,0.1685161093101283
28,320,Ueshima K,hr,Fatal,ci,123,7814,9.19,1.22,0.19885085874516517,51,1.72,0.86,0.17682650957553356
28,320,Ueshima K,hr,Fatal,ci,167,10638,14.44,0.82,-0.19845093872383832,52,1.17,0.58,0.17901628034660358
29,332,"Arem, H",hr,Fatal,ci,41165,498097,0,1,0,2524,NA,NA,NA
29,332,"Arem, H",hr,Fatal,ci,31095,376250,1.75,0.95,-0.05129329438755058,1659,1.01,0.89,0.0322669569713552
29,332,"Arem, H",hr,Fatal,ci,74502,901474,7,0.93,-0.07257069283483537,3756,0.98,0.88,0.02745730662434167
29,332,"Arem, H",hr,Fatal,ci,76049,920193,19.25,0.9,-0.10536051565782628,3636,0.95,0.85,0.028374407894113874
29,332,"Arem, H",hr,Fatal,ci,70700,855470,33.25,0.89,-0.11653381625595151,3426,0.94,0.84,0.028693890376022796
30,347,Jee Y. ,hr,Fatal,ci,162863,2764315,0,1,0,4059,NA,NA,NA
30,347,Jee Y. ,hr,Fatal,ci,47579,807886,4.38,0.75,-0.2876820724517809,982,0.8,0.7,0.0340647567194605
30,347,Jee Y. ,hr,Fatal,ci,33729,572606,13.13,0.78,-0.2484613592984996,785,0.84,0.72,0.039324875620975495
30,347,Jee Y. ,hr,Fatal,ci,29102,494056,21.88,0.73,-0.31471074483970024,796,0.79,0.68,0.03825074044054472
31,196,"de Souto Barreto, P.",hr,Non-fatal,ci,5555,24998,0,1,0,66,NA,NA,NA
31,196,"de Souto Barreto, P.",hr,Non-fatal,ci,2822,12699,1.31,1.42,0.35065687161316933,48,2.06,0.97,0.19213750768561808
31,196,"de Souto Barreto, P.",hr,Non-fatal,ci,6788,30546,2.63,1.34,0.29266961396282004,108,1.83,0.98,0.1593189158313553
31,196,"de Souto Barreto, P.",hr,Non-fatal,ci,36717,165227,3.94,1.19,0.17395330712343798,520,1.55,0.91,0.13586107056129765
